name,department,salary,experience_years,age,city
Анна,IT,120000,5,28,Москва
Борис,HR,80000,2,35,СПб
Вика,IT,135000,7,31,Москва
Глеб,Sales,90000,3,29,Казань
Даша,IT,110000,4,26,Москва
Егор,HR,75000,1,24,СПб
Жанна,Sales,95000,4,32,Казань
Зина,IT,140000,8,34,Москва
Иван,HR,85000,3,30,Москва
Кирилл,Sales,88000,2,28,СПб
Лена,IT,125000,5,29,Москва
Миша,HR,78000,2,26,Казань
Надя,Sales,105000,5,33,Москва
Олег,IT,130000,6,32,СПб
Павел,HR,82000,3,31,Москва
Рита,Sales,92000,3,27,СПб
Света,IT,115000,4,28,Казань
Тимур,HR,88000,4,29,Москва
Ульяна,Sales,98000,4,30,Москва
Федор,IT,145000,9,36,СПб
