name,department,salary,experience_years,age,city,bonus
Анна,IT,120000,5,28,Москва,12000.0
Борис,HR,80000,2,35,СПб,8000.0
Вика,IT,135000,7,31,Москва,13500.0
Глеб,Sales,90000,3,29,Казань,9000.0
Даша,IT,110000,4,26,Москва,11000.0
Егор,HR,75000,1,24,СПб,7500.0
Жанна,Sales,95000,4,32,Казань,9500.0
Зина,IT,140000,8,34,Москва,14000.0
Иван,HR,85000,3,30,Москва,8500.0
Кирилл,Sales,88000,2,28,СПб,8800.0
Лена,IT,125000,5,29,Москва,12500.0
Миша,HR,78000,2,26,Казань,7800.0
Надя,Sales,105000,5,33,Москва,10500.0
Олег,IT,130000,6,32,СПб,13000.0
Павел,HR,82000,3,31,Москва,8200.0
Рита,Sales,92000,3,27,СПб,9200.0
Света,IT,115000,4,28,Казань,11500.0
Тимур,HR,88000,4,29,Москва,8800.0
Ульяна,Sales,98000,4,30,Москва,9800.0
Федор,IT,145000,9,36,СПб,14500.0
